类型,ID/标题,发布日期,字数/点赞,浏览量/含金量,详细内容/长文摘要
实战推文,2082371338673791437,Wed Jul 29,点赞 11,评分 6.6,不要只盯着AI半导体 美股这么大，资金这么多 —— 看看下一个资金流向的地方吧 ，你值得更好的  医疗、金融和能源有好多好玩，未被x上的大神喊的 你真有兴趣的，先让AI帮你分析： $LLY $TMO $EQT $UNH   什么时候走？当你看到x上喊得铺天盖地的时候～ https://t.co/9HoGQgk1nh
实战推文,2087373744922865878,Wed Aug 12,点赞 13,评分 7.3,今天被 @bc1qDave 把旧文翻出来了 😂  说几个之前没提到的事：  1. 为什么文章标题叫“永续十年，幕还未谢”   那时候刚好听到Bitmex被收购的事情受阻，撑不下去的消息 - 觉得有点唏嘘  7月就出来这个消息  2.为什么封面是袁泉的回眸图？  建议你去看《大上海》，你就只能体会这个心情了  当年的恋人分隔，再见只能是路人 - 就跟当年一眼见到合约陷进去的自己一样  这篇文从流量上来说确实有点可惜 - 可以说是系统性对永续合约十年的周期变化的体系化总结，对于接下来的股票合约有很多借鉴意义（我的很多策略都是在这个基础上形成的）  只可惜因为x的算法，内容质量和市场原因没办法出圈  今天看回来，什么出不出圈，能够收获两三知音，足矣
实战推文,2102300309657960733,Tue Sep 22,点赞 0,评分 7.8,上次说的 #stockperps 的流动性调查报告有个阶段性成果了   这次的对象找的是最难弄的，pre ipo标的：@openai 和 @AnthropicAI   为什么难呢？因为它们两没有现货市场，也没有第三方指导价，全靠自己的盘口 - 假设这两个标的的流动性都能做得好，那剩下的估计就很厉害了～   也算是挑着软柿子来捏了 🤣   结果其实也不出意外，就是这两标的的流动性还是比较一般的（+/-20bps 20k美金），但是在binance上已经算是行业最好的流动性池了（至少大单还能成交）  因为流动性比较薄 ，但市场叙事又很足 - 这看起来貌似比小盘股还好玩，但实际上，交易所上这类标的可能是亏钱？或者说是不赚钱的  具体原因嘛？自己去看全文吧～   全文：https://agintender.substack.com/p/openai-anthropic-pre-ipo-stock-perps?r=8gs9xi&utm_campaign=post-expanded-share&utm_medium=web   ps：这篇文是各位substack群友贡献的经费，没拿交易所一分钱，所以还是比较客观独立的。 感谢各位啦～
实战推文,2102234686252875905,Tue Sep 22,点赞 5,评分 8.6,上次说的 #stockperps 的流动性调查报告有个阶段性成果了   这次的对象找的是最难弄的，pre ipo标的：@openai 和 @AnthropicAI   为什么难呢？因为它们两没有现货市场，也没有第三方指导价，全靠自己的盘口 - 假设这两个标的的流动性都能做得好，那剩下的估计就很厉害了～   也算是挑着软柿子来捏了 🤣   结果其实也不出意外，就是这两标的的流动性还是比较一般的（+/-20bps 20k美金），但是在binance上已经算是行业最好的流动性池了（至少大单还能成交）  因为流动性比较薄 ，但市场叙事又很足 - 这看起来貌似比小盘股还好玩，但实际上，交易所上这类标的可能是亏钱？或者说是不赚钱的  具体原因嘛？自己去看全文吧～   全文：https://agintender.substack.com/p/openai-anthropic-pre-ipo-stock-perps?r=8gs9xi&utm_campaign=post-expanded-share&utm_medium=web   ps：这篇文是各位substack群友贡献的经费，没拿交易所一分钱，所以还是比较客观独立的。 感谢各位啦～
实战推文,2099710553409323377,Tue Sep 15,点赞 8,评分 5.8,现在 bstocks支持 $BNC bncb 这个底层逻辑就不一样了 现在看看 @flapdotsh 能多快打出第一个金狗 然后能把 bncb 反馈到 $BNC 上 https://x.com/agintender/status/2098644830184505521
实战推文,2094627670827098369,Tue Sep 01,点赞 45,评分 7.9,如果你吃透了binance和https://t.co/hnWBQ12p9P 的stock perp在休市的算法，并且开始了解其他所的机制  你会发现，外边的雨云是这里飘过去的  恭喜你，除了可以每天吃到开盘前的“理财收益”，你还可以在 @okx @MEXC @Gate @Bybit_Official 吃到开市和闭市的收敛收益…  一篇关于 @Bybit_Official @MEXC @tradexyz @Gate @okx 的stock perp算法解析：  https://t.co/pKaxcbcM0z
实战推文,2059305082534150570,Tue May 26,点赞 29,评分 7.8,难道整个ct就只有我一个人在空 $mu ？！  我的逻辑很简单： micron 美光无疑是很好的标的，但是这次破万亿就是特朗普周末喊出来的，然后周一美股不开市，周二开始“补涨”  美光，存储都有美好的未来，但是是靠业绩打出来的 earning call在6月尾呢～   我蚂蚁仓试试水温，大家当看个笑话就好 https://t.co/FRYZcaMQfx
实战推文,1922153064271585373,Tue May 13,点赞 0,评分 5.8,@BrianChiu1108 @ethsign @sign 为了保持分析的客观性 反正仓位也不大 赚了就行  另外，我应该是近期第一个拿数据喊 $sign 的账号吧  等今晚美股看盘后，再决定是不是冲进去
实战推文,2054249396183740464,Tue May 12,点赞 54,评分 6.0,给那些现在看到美股新高想冲进去的小伙伴看看  虽然写的是预测市场，当算法和逻辑适用于各行各业  期望值 基础概率 贝叶斯 …..
实战推文,1939934619761078478,Tue Jul 01,点赞 4,评分 5.4,同感，只有大池子兼容小池子，反不过来的  链上美股没有波动性就是渣渣，所以归宿还是要perp/循环贷的打法
实战推文,1939924388083622029,Tue Jul 01,点赞 7,评分 5.8,@Michael_Liu93 我猜会涌现一批专业机构mm入场  非蓝筹美股流动性不好，那在链上流动性就更差了；如果流动性不足，上永续合约估计就不容易，所以第一波应该还是那些好一点的标的  至于那些好的美股都有mm，等这些机构进来提供流动性，才会更刺激  盲猜这也是之前Jump强势回归的原因吧  赞同炒山寨的会炒链上美股
实战推文,2100584307274502403,Thu Sep 17,点赞 11,评分 7.3,虽然是tokenized stock已经开跑一段时间内。但是SEC这个order也算是正名了tokenized stock  tokenized stock amm + lending 的基础，这就让 stock perps就更加好玩了  小盘股的链上发行和流通，加上perps - 而且还是隔着两个市场，这套利的传导会更加好玩  友情提示：很多penny stock可以一直增发股票的哦～ 玩得时候要注意
实战推文,1983737482819858875,Thu Oct 30,点赞 5,评分 5.0,@0xcryptowizard 不，是只剩下咱们在这里 p 了，人家都回美股了 - 扎心了
实战推文,1922874807256825928,Thu May 15,点赞 1,评分 5.0,@OwenJin12 如果pre trump era 10y4.5% 肯定空进去了 管他什么美股加密货币  小仓位去试试水  但是e多军永不为奴 😂
实战推文,2054995060135961087,Thu May 14,点赞 8,评分 5.8,嗯 看样子美股涨的差不多了，分歧也开始出现了，掐指一算，时间也差不多了  @youcanshortit 下周会上一批美股供大家做空  大家有想做空的标的吗？   你说做空为啥不去合约？开玩笑，你为啥要怼着这么高的费率去做？ 反正我是怕了….
实战推文,2054734332971864147,Thu May 14,点赞 14,评分 5.8,😄 有小伙伴问我，你咋不写下美股？大宗？ 期权？  加密都不行了，你就别只写合约和crypto了…  我就说有没有可能我原来就是“看表”写故事的老灯（aka 你要看我是买方还是卖方，并且在什么阶段）
实战推文,2052274986790875155,Thu May 07,点赞 24,评分 6.6,看到推上各种美股新高，AI无敌，加密回暖，sat0机制创新…  不敢说一片祥和，说是人声鼎沸都不过分好伐….  立夏已致，小满不远 芒种不雨，夏至踏来 大暑之后，必有大寒 https://t.co/2Qh1ESsNRF
实战推文,2052194090733748639,Thu May 07,点赞 15,评分 5.8,美股涨的越高，crypto就越欢 你说这中间有什么直接联系？因果关系？  有人说这是流动性溢出？风险资产抬头？机构进入？  怎么说呢？ 就跟川普当选总统后，川大智胜直接涨停一样
实战推文,2062490423617261630,Thu Jun 04,点赞 41,评分 7.9,关于中国国务院发的837号令《关于对外投资的规定》  有鉴于太多pm了，我在这里统一说下吧  这个837号行政令应该是这几年最严格的对外投资行政令  首先它把主体扩展到居民个人的层面（不再是组织/企业） - 对，就是在屏幕前的你  2. 资产类别基本包括了你知道的一切，什么股票（美股，未上市），基金，加密货币，银行账户的外汇等等  3. 要你干啥呢？要披露和备案… （涉及国家安全的还要批准…）  4. 处罚是啥：没收违法所得 + 投资额的0.1-0.5%  5. 里面还加了个涉及国家安全的条款，至于啥是国家安全？   基本的我就不多说了- 什么在之前在futu老虎开过户买美股的，这类信息一定会同步到的…   而那些在新加坡拿着EP开户（或者香港身份）买美股的… 新加坡是CRS参与国…同步就是时间问题  除非你很专业，要不然从资产端很难做账的，从税务身份可能还有点戏  7月1号开跑
实战推文,1945851583507656956,Thu Jul 17,点赞 3,评分 5.0,2个月多的时间   美股的eth 循环贷来了，btcs 看一下
实战推文,2016883932399104006,Thu Jan 29,点赞 18,评分 6.9,当我们在说“加密不行了”？我们到底想表达什么？  是价格不行了？还是打开方式错了？  致敬 @0xPickleCati 的雄文，写了一篇项目方视角的熊市自high指南（也算是给自己打打气～）  没有项目方，没有协议，哪来的行业 对于二级交易员来说，交易标的可以是无所谓，不喜欢的话，就换下一个，快进快出  但是项目方不是这样的，兢兢业业，吭哧吭哧做了2年，写代码，做宣发，融资，跑会等等，结果等到项目成熟了，发现市场不好，交易所各种刁难，二级不买账 、agency砍菜头etc  加上meme当道，如果不是韧性和信仰，在熊市要怎么能扛下去？  不是大家都想low float，high fdv - 这个是大部分人没得选，投入了这么多时间，精力和金钱，你能怎么就放弃吗？尤其是在越过一个熊市后，发现还是一轮熊市。。。你是散户/交易员，你能去美股，贵金属，etc，但我们不能～   我不指望这篇文章会有什么大反响，毕竟我做的项目就一塌糊涂，没什么说服力，但除了算法和角度，身为人，我们还有情绪 （被 @hongkongdoll 的文感染了）和那一口气  愿我们始终能为自己的主权一直做抗争
